"area_name","area_code","date","new_cases","total_cases"
"Westminster","E09000033",2020-05-19,1,710
"Barking and Dagenham","E09000002",2020-05-20,4,650
"Barnet","E09000003",2020-05-20,10,1509
"Bexley","E09000004",2020-05-20,6,947
"Brent","E09000005",2020-05-20,9,1620
"Bromley","E09000006",2020-05-20,4,1455
"Camden","E09000007",2020-05-20,4,664
"Croydon","E09000008",2020-05-20,12,1755
"Ealing","E09000009",2020-05-20,11,1412
"Enfield","E09000010",2020-05-20,3,1108
"Greenwich","E09000011",2020-05-20,1,874
"Hackney and City of London","E09000012",2020-05-20,2,757
"Hammersmith and Fulham","E09000013",2020-05-20,5,696
"Haringey","E09000014",2020-05-20,2,698
"Harrow","E09000015",2020-05-20,5,1205
"Havering","E09000016",2020-05-20,7,867
"Hillingdon","E09000017",2020-05-20,3,988
"Hounslow","E09000018",2020-05-20,2,939
"Islington","E09000019",2020-05-20,1,508
"Kensington and Chelsea","E09000020",2020-05-20,1,521
"Kingston upon Thames","E09000021",2020-05-20,7,682
"Lambeth","E09000022",2020-05-20,6,1299
"Lewisham","E09000023",2020-05-20,2,1133
"Merton","E09000024",2020-05-20,8,871
"Newham","E09000025",2020-05-20,0,1159
"Redbridge","E09000026",2020-05-20,8,1005
"Richmond upon Thames","E09000027",2020-05-20,1,488
"Southwark","E09000028",2020-05-20,0,1382
"Sutton","E09000029",2020-05-20,6,919
"Tower Hamlets","E09000030",2020-05-20,3,731
"Waltham Forest","E09000031",2020-05-20,1,936
"Wandsworth","E09000032",2020-05-20,4,1093
"Westminster","E09000033",2020-05-20,5,715
"Barking and Dagenham","E09000002",2020-05-21,4,654
"Barnet","E09000003",2020-05-21,8,1517
"Bexley","E09000004",2020-05-21,15,962
"Brent","E09000005",2020-05-21,3,1623
"Bromley","E09000006",2020-05-21,2,1457
"Camden","E09000007",2020-05-21,2,666
"Croydon","E09000008",2020-05-21,9,1764
"Ealing","E09000009",2020-05-21,4,1416
"Enfield","E09000010",2020-05-21,2,1110
"Greenwich","E09000011",2020-05-21,6,880
"Hackney and City of London","E09000012",2020-05-21,2,759
"Hammersmith and Fulham","E09000013",2020-05-21,2,698
"Haringey","E09000014",2020-05-21,4,702
"Harrow","E09000015",2020-05-21,4,1209
"Havering","E09000016",2020-05-21,10,877
"Hillingdon","E09000017",2020-05-21,7,995
"Hounslow","E09000018",2020-05-21,4,943
"Islington","E09000019",2020-05-21,1,509
"Kensington and Chelsea","E09000020",2020-05-21,5,526
"Kingston upon Thames","E09000021",2020-05-21,4,686
"Lambeth","E09000022",2020-05-21,10,1309
"Lewisham","E09000023",2020-05-21,5,1138
"Merton","E09000024",2020-05-21,5,876
"Newham","E09000025",2020-05-21,8,1167
"Redbridge","E09000026",2020-05-21,0,1005
"Richmond upon Thames","E09000027",2020-05-21,3,491
"Southwark","E09000028",2020-05-21,2,1384
"Sutton","E09000029",2020-05-21,13,932
"Tower Hamlets","E09000030",2020-05-21,5,736
"Waltham Forest","E09000031",2020-05-21,3,939
"Wandsworth","E09000032",2020-05-21,3,1096
"Westminster","E09000033",2020-05-21,3,718
"Barking and Dagenham","E09000002",2020-05-22,1,655
"Barnet","E09000003",2020-05-22,3,1520
"Bexley","E09000004",2020-05-22,8,970
"Brent","E09000005",2020-05-22,5,1628
"Bromley","E09000006",2020-05-22,5,1462
"Camden","E09000007",2020-05-22,1,667
"Croydon","E09000008",2020-05-22,3,1767
"Ealing","E09000009",2020-05-22,12,1428
"Enfield","E09000010",2020-05-22,2,1112
"Greenwich","E09000011",2020-05-22,1,881
"Hackney and City of London","E09000012",2020-05-22,0,759
"Hammersmith and Fulham","E09000013",2020-05-22,4,702
"Haringey","E09000014",2020-05-22,1,703
"Harrow","E09000015",2020-05-22,2,1211
"Havering","E09000016",2020-05-22,2,879
"Hillingdon","E09000017",2020-05-22,2,997
"Hounslow","E09000018",2020-05-22,5,948
"Islington","E09000019",2020-05-22,2,511
"Kensington and Chelsea","E09000020",2020-05-22,0,526
"Kingston upon Thames","E09000021",2020-05-22,4,690
"Lambeth","E09000022",2020-05-22,2,1311
"Lewisham","E09000023",2020-05-22,2,1140
"Merton","E09000024",2020-05-22,0,876
"Newham","E09000025",2020-05-22,2,1169
"Redbridge","E09000026",2020-05-22,5,1010
"Richmond upon Thames","E09000027",2020-05-22,0,491
"Southwark","E09000028",2020-05-22,0,1384
"Sutton","E09000029",2020-05-22,5,937
"Tower Hamlets","E09000030",2020-05-22,2,738
"Waltham Forest","E09000031",2020-05-22,2,941
"Wandsworth","E09000032",2020-05-22,1,1097
"Westminster","E09000033",2020-05-22,1,719
"Barking and Dagenham","E09000002",2020-05-23,2,657
"Barnet","E09000003",2020-05-23,1,1521
"Bexley","E09000004",2020-05-23,2,972
"Brent","E09000005",2020-05-23,3,1631
"Bromley","E09000006",2020-05-23,1,1463
"Camden","E09000007",2020-05-23,0,667
"Croydon","E09000008",2020-05-23,8,1775
"Ealing","E09000009",2020-05-23,2,1430
"Enfield","E09000010",2020-05-23,1,1113
"Greenwich","E09000011",2020-05-23,3,884
"Hackney and City of London","E09000012",2020-05-23,1,760
"Hammersmith and Fulham","E09000013",2020-05-23,0,702
"Haringey","E09000014",2020-05-23,2,705
"Harrow","E09000015",2020-05-23,1,1212
